This table shows the memory used the mesh
Dimensions (cube);No vertices shared;Cube verties shared;Mesh vertices shared;All vertices shared;
8;11,2578125;8,2578125;5,6796875;4,15625;
9;14,609375;10,578125;6,9453125;5,0234375;
10;19,63671875;14,05859375;8,64453125;6,23046875;
11;22,8359375;16,2734375;9,8515625;6,9921875;
12;26,4921875;18,8046875;11,1875;7,8828125;
13;31,21484375;22,07421875;13,05078125;9,01953125;
14;35,0234375;24,7109375;14,65625;9,96875;
15;41,26953125;29,03515625;16,91796875;11,50390625;
16;47,2109375;33,1484375;18,828125;12,921875;
17;52,84765625;37,05078125;21,30078125;14,24609375;
18;59,85546875;41,90234375;23,62109375;15,93359375;
19;67,625;47,28125;26,328125;17,7734375;
20;74,78515625;52,23828125;29,10546875;19,51953125;
21;83,62109375;58,35546875;32,12890625;21,60546875;
22;92,45703125;64,47265625;34,98828125;23,59765625;
23;103,42578125;72,06640625;38,43359375;26,26953125;
24;114,8515625;79,9765625;42,1015625;28,9765625;
25;128,10546875;89,15234375;46,61328125;32,05859375;
26;136,1796875;94,7421875;49,71875;33,9921875;
27;147,453125;102,546875;53,1640625;36,6875;
28;161,46875;112,25;57,21875;39,96875;
29;176,24609375;122,48046875;62,10546875;43,47265625;
30;194,375;135,03125;66,96875;47,6796875;
31;209,45703125;145,47265625;71,97265625;51,30078125;
32;222,40625;154,4375;76,0390625;54,265625;
33;235,35546875;163,40234375;80,57421875;57,34765625;
34;253,1796875;175,7421875;86,5390625;61,484375;
35;270,39453125;187,66015625;91,82421875;65,57421875;
36;291,11328125;202,00390625;98,36328125;70,40234375;
37;313,35546875;217,40234375;105,44140625;75,60546875;
38;332,85546875;230,90234375;112,07421875;80,12890625;
39;348,39453125;241,66015625;117,46484375;83,78515625;
40;370,63671875;257,05859375;124,40234375;89,08203125;
41;391,8125;271,71875;131,4453125;93,9921875;
42;412,8359375;286,2734375;138,6875;98,796875;
43;437,66796875;303,46484375;146,19921875;104,62109375;
44;467,6796875;324,2421875;155,9609375;111,6171875;
45;492,51171875;341,43359375;163,68359375;117,44140625;
46;518,10546875;359,15234375;171,65234375;123,41796875;
47;538,82421875;373,49609375;178,14453125;128,26953125;
48;568,8359375;394,2734375;187,390625;135,3125;
49;596,2578125;413,2578125;197,234375;141,6875;
50;632,66796875;438,46484375;208,35546875;150,20703125;
51;667,25;462,40625;218,4921875;158,2578125;
52;701,984375;486,453125;228,7109375;166,34375;
53;737,6328125;511,1328125;240,2421875;174,7109375;
54;771,91015625;534,86328125;250,87109375;182,71484375;
55;799,94140625;554,26953125;259,66015625;189,25390625;
56;840,46484375;582,32421875;271,37890625;198,72265625;
57;880,2265625;609,8515625;283,671875;208,015625;
58;917,85546875;635,90234375;295,26171875;216,79296875;
59;953,50390625;660,58203125;307,51953125;225,06640625;
60;1006,0625;696,96875;323,1171875;237,2421875;
61;1036,68359375;718,16796875;333,98046875;244,35546875;
62;1077,0546875;746,1171875;347,234375;253,7890625;
63;1126,26171875;780,18359375;363,06640625;265,23828125;
64;1169,22265625;809,92578125;376,02734375;275,15234375;
