This table shows the total vertex count for the mesh
Dimensions (cube);No vertices shared;Cube verties shared;Mesh vertices shared;All vertices shared;
8;384;256;146;81;
9;516;344;189;107;
10;714;476;245;142;
11;840;560;286;164;
12;984;656;331;190;
13;1170;780;395;223;
14;1320;880;451;251;
15;1566;1044;527;296;
16;1800;1200;589;337;
17;2022;1348;676;375;
18;2298;1532;752;424;
19;2604;1736;842;477;
20;2886;1924;937;528;
21;3234;2156;1037;588;
22;3582;2388;1130;644;
23;4014;2676;1241;722;
24;4464;2976;1360;800;
25;4986;3324;1509;888;
26;5304;3536;1615;944;
27;5748;3832;1725;1022;
28;6300;4200;1852;1116;
29;6882;4588;2012;1217;
30;7596;5064;2160;1337;
31;8190;5460;2324;1442;
32;8700;5800;2455;1526;
33;9210;6140;2606;1615;
34;9912;6608;2802;1733;
35;10590;7060;2971;1851;
36;11406;7604;3182;1989;
37;12282;8188;3411;2138;
38;13050;8700;3630;2267;
39;13662;9108;3809;2372;
40;14538;9692;4032;2525;
41;15372;10248;4263;2665;
42;16200;10800;4503;2801;
43;17178;11452;4742;2968;
44;18360;12240;5060;3168;
45;19338;12892;5308;3335;
46;20346;13564;5564;3506;
47;21162;14108;5773;3645;
48;22344;14896;6069;3847;
49;23424;15616;6399;4029;
50;24858;16572;6754;4273;
51;26220;17480;7073;4503;
52;27588;18392;7395;4734;
53;28992;19328;7770;4974;
54;30342;20228;8111;5203;
55;31446;20964;8394;5390;
56;33042;22028;8761;5661;
57;34608;23072;9155;5927;
58;36090;24060;9526;6178;
59;37494;24996;9932;6414;
60;39564;26376;10425;6761;
61;40770;27180;10788;6964;
62;42360;28240;11221;7234;
63;44298;29532;11735;7561;
64;45990;30660;12147;7843;
